subset,n_exog,AIC,BIC,LB_p_lag10,MAE_2025,RMSE_2025,MAPE_2025_%,bias_2025,PI95_cov_%,PINAW,CWC,Winkler
pop_cdd_both_hdd_both,14,99214.55976452722,99346.66750857026,0.0006976796127403587,2969.0960686438893,3867.654122572778,4.034897532829533,16.432747775319747,97.53424657534246,0.5966323755332477,0.5966323755332477,27376.66315168516
ip_cdd_both_hdd_both,14,98485.96531372798,98618.07305777102,5.248072863203929e-06,3038.9912488431314,3915.241453057283,4.131454753406653,-17.27413849220109,96.98630136986301,1.158887114540825,1.158887114540825,52830.0764661228
v1_phase1,16,98489.91518306737,98635.2337015147,2.5146572580849677e-05,3061.684521526528,3963.993076509265,4.156434007880134,58.20986714196465,95.34246575342465,0.43645839367956474,0.43645839367956474,23711.003572342437
pop_cdd_both_hdd_only,13,98669.59145991245,98795.09381675335,1.3995405342445795e-06,3575.9393733270235,4449.181603370062,5.0208999582282745,-1432.6899410485482,95.06849315068493,0.5371765505982468,0.5371765505982468,27540.159158040016
ip_cdd_both_hdd_only,13,98674.96503859336,98800.46739543426,2.239619969040409e-06,3831.4852144603706,4730.027491542281,5.4058176160885,-1720.1862632979569,96.16438356164385,0.5582742680392654,0.5582742680392654,28434.426982451925
pop_cdd_only_hdd_both,13,98562.27633469093,98687.77869153183,1.454527139590371e-05,3941.342317479335,5185.197586345299,5.182547673182017,1375.063438198847,90.68493150684932,0.4522148011377922,4.363774749854671,26222.715223156476
ip_cdd_only_hdd_both,13,99277.4093944853,99402.91175132619,0.00013466184115890946,4789.006227582699,6202.230460972073,6.216060661292404,3100.9261749895527,99.17808219178083,2.5316270665706577,2.5316270665706577,108996.25360101453
pop_cdd_only_hdd_only,12,98682.57799797681,98801.47496761555,1.233019520298597e-06,5998.087581971457,7062.142115539823,8.648341903425141,-4667.064609573627,98.08219178082192,2.0315790180475317,2.0315790180475317,89162.59402093536
ip_cdd_only_hdd_only,12,99351.29143420576,99470.1884038445,8.921352793648339e-05,8206.936737892003,9622.605369947007,11.816848940074625,-7362.171808840042,99.45205479452055,3.2265789123012616,3.2265789123012616,138854.0313925737
